muestra_id,origen_grifo,timestep,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
MUESTRA_023,Grifo_2,5,23191.0,21651.0,22449.0,2857.0,19518.0,2813.0,26.5,32.7
MUESTRA_023,Grifo_2,6,23184.0,21645.0,22443.0,2861.0,19513.0,2824.0,26.5,32.7
MUESTRA_023,Grifo_2,7,23193.0,21652.0,22438.0,2850.0,19529.0,2836.0,26.5,32.7
MUESTRA_023,Grifo_2,8,23190.0,21645.0,22451.0,2850.0,19527.0,2809.0,26.6,32.8
MUESTRA_023,Grifo_2,9,23197.0,21641.0,22435.0,2856.0,19518.0,2820.0,26.6,32.8
MUESTRA_023,Grifo_2,10,23185.0,21645.0,22456.0,2845.0,19541.0,2833.0,26.6,32.8
MUESTRA_023,Grifo_2,11,23209.0,21659.0,22467.0,2862.0,19531.0,2823.0,26.6,32.8
MUESTRA_023,Grifo_2,12,23200.0,21662.0,22482.0,2860.0,19551.0,2812.0,26.6,32.7
MUESTRA_023,Grifo_2,13,23192.0,21651.0,22465.0,2847.0,19532.0,2839.0,26.6,32.7
MUESTRA_023,Grifo_2,14,23176.0,21637.0,22477.0,2870.0,19527.0,2812.0,26.6,32.8
MUESTRA_023,Grifo_2,15,23202.0,21651.0,22467.0,2851.0,19531.0,2836.0,26.6,32.8
MUESTRA_023,Grifo_2,16,23208.0,21663.0,22481.0,2861.0,19542.0,2804.0,26.6,32.7
MUESTRA_023,Grifo_2,17,23199.0,21643.0,22466.0,2848.0,19534.0,2836.0,26.6,32.7
MUESTRA_023,Grifo_2,18,23205.0,21653.0,22477.0,2849.0,19541.0,2823.0,26.6,32.7
MUESTRA_023,Grifo_2,19,23185.0,21650.0,22471.0,2853.0,19523.0,2838.0,26.6,32.7
MUESTRA_023,Grifo_2,20,23187.0,21650.0,22464.0,2858.0,19534.0,2825.0,26.6,32.7
MUESTRA_023,Grifo_2,21,23194.0,21654.0,22467.0,2863.0,19534.0,2828.0,26.6,32.7
MUESTRA_023,Grifo_2,22,23181.0,21639.0,22481.0,2863.0,19522.0,2811.0,26.6,32.7
MUESTRA_023,Grifo_2,23,23200.0,21653.0,22478.0,2851.0,19532.0,2834.0,26.6,32.7
MUESTRA_023,Grifo_2,24,23194.0,21645.0,22470.0,2860.0,19530.0,2832.0,26.7,32.7
MUESTRA_023,Grifo_2,25,23193.0,21646.0,22476.0,2861.0,19536.0,2806.0,26.7,32.7
MUESTRA_023,Grifo_2,26,23176.0,21629.0,22430.0,2867.0,19532.0,2811.0,26.7,32.7
MUESTRA_023,Grifo_2,27,23180.0,21639.0,22444.0,2850.0,19549.0,2838.0,26.7,32.7
MUESTRA_023,Grifo_2,28,23193.0,21660.0,22464.0,2850.0,19530.0,2819.0,26.7,32.7
MUESTRA_023,Grifo_2,29,23172.0,21648.0,22432.0,2865.0,19529.0,2798.0,26.7,32.7
MUESTRA_023,Grifo_2,30,23177.0,21661.0,22454.0,2867.0,19533.0,2833.0,26.7,32.7
MUESTRA_024,Grifo_2,1,23177.0,21651.0,22430.0,2863.0,19525.0,2810.0,26.7,32.7
MUESTRA_024,Grifo_2,2,23182.0,21662.0,22448.0,2853.0,19542.0,2816.0,26.7,32.6
MUESTRA_024,Grifo_2,3,23199.0,21660.0,22437.0,2864.0,19509.0,2803.0,26.7,32.6
MUESTRA_024,Grifo_2,4,23181.0,21647.0,22451.0,2858.0,19528.0,2828.0,26.7,32.7
MUESTRA_024,Grifo_2,5,23193.0,21660.0,22440.0,2842.0,19560.0,2831.0,26.7,32.7
MUESTRA_024,Grifo_2,6,23174.0,21649.0,22419.0,2842.0,19529.0,2833.0,26.7,32.7
MUESTRA_024,Grifo_2,7,23173.0,21639.0,22440.0,2862.0,19518.0,2804.0,26.7,32.7
MUESTRA_024,Grifo_2,8,23162.0,21630.0,22417.0,2840.0,19505.0,2837.0,26.7,32.7
MUESTRA_024,Grifo_2,9,23155.0,21628.0,22425.0,2870.0,19503.0,2804.0,26.7,32.7
MUESTRA_024,Grifo_2,10,23179.0,21641.0,22425.0,2845.0,19511.0,2827.0,26.7,32.7
MUESTRA_024,Grifo_2,11,23176.0,21643.0,22440.0,2847.0,19522.0,2837.0,26.7,32.7
MUESTRA_024,Grifo_2,12,23189.0,21634.0,22435.0,2849.0,19512.0,2812.0,26.7,32.7
MUESTRA_024,Grifo_2,13,23174.0,21649.0,22454.0,2861.0,19523.0,2836.0,26.7,32.7
MUESTRA_024,Grifo_2,14,23159.0,21649.0,22425.0,2859.0,19541.0,2819.0,26.7,32.7
MUESTRA_024,Grifo_2,15,23163.0,21631.0,22438.0,2839.0,19499.0,2824.0,26.7,32.7
MUESTRA_024,Grifo_2,16,23161.0,21619.0,22419.0,2864.0,19496.0,2807.0,26.7,32.7
MUESTRA_024,Grifo_2,17,23156.0,21631.0,22429.0,2851.0,19492.0,2832.0,26.7,32.7
MUESTRA_024,Grifo_2,18,23165.0,21632.0,22438.0,2856.0,19514.0,2824.0,26.7,33.1
MUESTRA_024,Grifo_2,19,23154.0,21634.0,22434.0,2842.0,19503.0,2832.0,26.7,33.1
MUESTRA_024,Grifo_2,20,23163.0,21633.0,22433.0,2864.0,19514.0,2806.0,26.7,32.6
MUESTRA_024,Grifo_2,21,23172.0,21638.0,22428.0,2864.0,19514.0,2812.0,26.7,32.6
MUESTRA_024,Grifo_2,22,23152.0,21633.0,22412.0,2835.0,19506.0,2827.0,26.8,32.7
MUESTRA_024,Grifo_2,23,23152.0,21637.0,22412.0,2872.0,19497.0,2818.0,26.8,32.7
MUESTRA_024,Grifo_2,24,23168.0,21643.0,22421.0,2844.0,19506.0,2828.0,26.7,32.7
MUESTRA_024,Grifo_2,25,23167.0,21647.0,22406.0,2863.0,19500.0,2811.0,26.7,32.7
MUESTRA_024,Grifo_2,26,23149.0,21636.0,22427.0,2859.0,19504.0,2819.0,26.7,32.7
MUESTRA_024,Grifo_2,27,23158.0,21642.0,22416.0,2842.0,19509.0,2824.0,26.7,32.7
MUESTRA_024,Grifo_2,28,23177.0,21655.0,22405.0,2850.0,19506.0,2831.0,26.7,32.7
MUESTRA_024,Grifo_2,29,23164.0,21634.0,22400.0,2861.0,19490.0,2805.0,26.7,32.7
MUESTRA_024,Grifo_2,30,23151.0,21631.0,22394.0,2853.0,19498.0,2807.0,26.8,32.7
MUESTRA_025,Grifo_2,1,23151.0,21627.0,22402.0,2854.0,19497.0,2811.0,26.8,32.7
MUESTRA_025,Grifo_2,2,23149.0,21636.0,22403.0,2859.0,19505.0,2806.0,26.8,32.7
MUESTRA_025,Grifo_2,3,23159.0,21634.0,22397.0,2837.0,19497.0,2824.0,26.8,32.7
MUESTRA_025,Grifo_2,4,23158.0,21651.0,22398.0,2843.0,19498.0,2833.0,26.8,32.7
MUESTRA_025,Grifo_2,5,23175.0,21655.0,22378.0,2862.0,19500.0,2807.0,26.8,32.7
MUESTRA_025,Grifo_2,6,23153.0,21634.0,22376.0,2837.0,19502.0,2827.0,26.8,32.7
MUESTRA_025,Grifo_2,7,23158.0,21655.0,22373.0,2847.0,19494.0,2835.0,26.8,32.7
MUESTRA_025,Grifo_2,8,23156.0,21656.0,22382.0,2845.0,19494.0,2830.0,26.8,32.7
MUESTRA_025,Grifo_2,9,23137.0,21648.0,22373.0,2843.0,19502.0,2817.0,26.8,32.7
MUESTRA_025,Grifo_2,10,23171.0,21661.0,22385.0,2856.0,19510.0,2804.0,26.8,32.7
MUESTRA_025,Grifo_2,11,23149.0,21635.0,22376.0,2835.0,19511.0,2835.0,26.8,32.7
MUESTRA_025,Grifo_2,12,23145.0,21638.0,22372.0,2836.0,19502.0,2842.0,26.8,32.7
MUESTRA_025,Grifo_2,13,23149.0,21639.0,22362.0,2865.0,19493.0,2810.0,26.8,32.7
MUESTRA_025,Grifo_2,14,23156.0,21650.0,22355.0,2854.0,19500.0,2806.0,26.8,32.7
MUESTRA_025,Grifo_2,15,23146.0,21643.0,22358.0,2852.0,19498.0,2828.0,26.8,32.7
MUESTRA_025,Grifo_2,16,23147.0,21627.0,22351.0,2857.0,19474.0,2797.0,26.8,32.7
MUESTRA_025,Grifo_2,17,23159.0,21625.0,22383.0,2859.0,19493.0,2803.0,26.8,32.7
MUESTRA_025,Grifo_2,18,23137.0,21631.0,22366.0,2854.0,19477.0,2832.0,26.8,32.7
MUESTRA_025,Grifo_2,19,23141.0,21624.0,22379.0,2847.0,19477.0,2821.0,26.8,32.7
MUESTRA_025,Grifo_2,20,23162.0,21655.0,22383.0,2858.0,19494.0,2814.0,26.8,32.8
MUESTRA_025,Grifo_2,21,23147.0,21650.0,22384.0,2849.0,19491.0,2804.0,26.8,32.8
MUESTRA_025,Grifo_2,22,23145.0,21644.0,22385.0,2857.0,19489.0,2822.0,26.8,32.8
MUESTRA_025,Grifo_2,23,23159.0,21630.0,22412.0,2847.0,19495.0,2793.0,26.8,32.8
MUESTRA_025,Grifo_2,24,23163.0,21649.0,22380.0,2838.0,19491.0,2825.0,26.8,32.8
MUESTRA_025,Grifo_2,25,23151.0,21631.0,22396.0,2850.0,19479.0,2820.0,26.8,32.8
MUESTRA_025,Grifo_2,26,23160.0,21648.0,22413.0,2850.0,19489.0,2813.0,26.8,32.8
MUESTRA_025,Grifo_2,27,23143.0,21636.0,22414.0,2834.0,19489.0,2818.0,26.8,32.8
MUESTRA_025,Grifo_2,28,23124.0,21627.0,22422.0,2846.0,19486.0,2832.0,26.8,32.8
MUESTRA_025,Grifo_2,29,23133.0,21622.0,22398.0,2858.0,19495.0,2809.0,26.8,32.8
MUESTRA_025,Grifo_2,30,23131.0,21628.0,22393.0,2831.0,19505.0,2819.0,26.8,32.8
MUESTRA_026,Grifo_2,1,23136.0,21641.0,22398.0,2849.0,19505.0,2828.0,26.8,32.8
MUESTRA_026,Grifo_2,2,23149.0,21643.0,22400.0,2843.0,19481.0,2828.0,26.8,32.8
MUESTRA_026,Grifo_2,3,23132.0,21625.0,22403.0,2844.0,19482.0,2817.0,26.8,32.8
MUESTRA_026,Grifo_2,4,23146.0,21637.0,22403.0,2843.0,19472.0,2824.0,26.8,32.8
MUESTRA_026,Grifo_2,5,23144.0,21636.0,22400.0,2853.0,19483.0,2803.0,26.8,32.8
MUESTRA_026,Grifo_2,6,23133.0,21631.0,22401.0,2842.0,19474.0,2818.0,26.8,32.8
MUESTRA_026,Grifo_2,7,23155.0,21642.0,22415.0,2848.0,19481.0,2824.0,26.8,32.8
